id;state
2305;infected
3630;infected
3636;infected
2307;infected
4;infected
2313;infected
2312;infected
7;infected
3642;infected
3644;infected
2326;infected
3653;infected
3673;infected
2341;infected
1005;infected
2336;infected
2334;infected
2332;infected
3664;infected
3665;infected
3681;infected
3682;quarantine
1020;infected
1018;infected
1016;infected
2344;infected
3678;infected
3690;infected
1031;infected
2361;infected
3685;infected
3689;infected
6717;infected
6731;infected
2370;infected
1038;infected
3696;infected
6722;infected
6724;infected
1055;infected
1051;infected
1050;infected
2381;infected
2378;infected
6753;infected
6752;infected
2397;quarantine
1063;infected
2390;infected
1056;quarantine
2387;infected
6743;infected
5414;infected
5417;infected
6747;infected
5419;infected
6749;infected
5430;infected
4100;infected
4101;infected
6763;infected
1074;quarantine
1072;infected
5423;infected
5425;infected
6773;infected
4112;infected
4113;infected
5434;infected
6766;infected
5435;infected
4105;infected
6768;infected
5437;infected
6767;infected
6769;infected
4120;infected
6781;infected
6784;infected
6783;infected
5455;infected
1097;infected
5448;infected
6778;infected
4118;infected
5449;infected
4119;infected
4130;infected
4132;infected
4133;infected
6788;infected
5457;infected
4140;infected
5471;infected
4141;infected
4144;infected
5475;infected
5476;infected
202;infected
5467;infected
4156;infected
4157;infected
210;infected
216;infected
4149;infected
4161;infected
4162;infected
5496;infected
5491;infected
222;infected
224;infected
231;infected
234;infected
237;infected
239;infected
1908;infected
244;infected
245;infected
7206;infected
7205;infected
7208;infected
1903;infected
4197;infected
4199;infected
253;infected
1910;infected
7216;infected
7236;infected
260;infected
262;infected
263;infected
264;infected
267;infected
7242;infected
276;infected
7255;infected
280;infected
287;infected
1948;infected
1944;infected
1952;infected
1950;infected
1958;infected
1956;infected
1961;infected
1960;infected
1969;infected
7288;infected
1990;infected
1987;infected
1985;infected
1984;infected
1997;infected
3708;infected
9025;infected
3717;infected
3712;infected
3714;quarantine
3728;infected
3738;infected
3730;infected
3731;infected
3748;infected
3744;infected
3745;infected
2430;infected
3759;infected
3751;quarantine
3752;quarantine
1110;infected
2441;infected
1107;infected
1102;infected
2433;infected
1109;infected
3782;infected
2452;infected
1112;infected
2443;infected
1111;infected
3774;infected
3777;infected
3793;infected
1132;infected
1130;infected
2461;infected
2460;infected
9090;infected
2455;infected
1122;infected
3784;infected
6814;infected
1136;infected
2467;infected
3796;infected
3797;quarantine
1154;infected
5508;infected
6839;infected
5501;infected
6838;infected
5507;infected
2496;infected
2495;infected
2490;infected
5515;infected
5516;infected
4201;infected
1175;infected
1173;infected
5526;infected
1187;infected
1177;infected
4206;infected
4209;infected
1190;infected
5552;infected
1198;infected
1194;infected
1193;infected
1191;infected
4214;infected
4215;infected
5562;infected
5564;infected
5571;infected
302;quarantine
4235;infected
5567;infected
5568;infected
4238;infected
5569;infected
4239;infected
5580;infected
5584;infected
310;infected
4249;infected
5595;infected
4274;infected
4276;infected
337;infected
339;infected
4286;infected
4287;infected
340;infected
342;quarantine
344;infected
345;infected
346;quarantine
351;quarantine
362;infected
21;infected
6012;infected
6011;infected
27;infected
29;infected
373;infected
6006;infected
36;infected
37;infected
7356;infected
41;infected
6036;infected
49;infected
7373;infected
7376;infected
58;infected
7370;infected
7372;infected
63;infected
65;infected
7380;infected
70;infected
71;infected
75;infected
6066;infected
80;infected
87;infected
6079;infected
6072;infected
6073;infected
90;infected
6086;infected
6088;infected
6080;infected
6085;infected
3806;infected
3808;infected
3817;infected
3819;infected
3811;infected
9135;infected
3829;infected
2501;infected
3830;quarantine
3832;infected
2513;infected
2526;infected
3858;infected
3852;infected
2528;infected
