id;state
2304;infected
3630;infected
2307;infected
2313;infected
6;infected
3641;infected
2330;infected
2322;infected
3653;infected
3673;infected
2341;infected
2340;infected
2337;infected
1004;infected
2333;infected
3682;quarantine
1018;infected
1016;infected
2344;infected
3678;infected
1028;infected
2359;infected
6713;infected
6714;infected
6731;infected
2374;infected
2372;infected
1038;infected
2365;infected
3697;infected
6723;infected
5410;infected
6742;infected
1055;infected
1053;infected
1050;infected
2380;infected
2378;infected
6732;infected
6735;infected
6737;infected
5420;infected
5421;infected
6753;infected
5422;infected
1066;infected
2397;quarantine
1064;infected
1062;infected
1059;infected
1056;quarantine
2387;infected
6747;infected
5419;infected
4100;infected
5431;infected
5432;infected
1075;infected
1074;quarantine
1072;infected
1070;infected
5424;infected
5425;infected
5429;infected
1080;infected
6771;infected
5440;infected
4111;infected
4112;infected
4103;infected
5435;infected
4105;infected
4106;infected
5437;infected
4107;infected
4108;infected
5439;infected
4109;infected
6782;infected
4120;infected
5454;infected
1094;infected
5445;infected
5446;infected
6776;infected
5447;infected
6778;infected
4118;infected
5449;infected
4119;infected
4132;infected
5463;infected
4134;infected
6788;infected
5457;infected
4129;infected
4140;infected
5471;infected
4144;infected
5475;infected
4150;infected
5485;infected
5487;infected
5488;infected
210;infected
4149;infected
4161;infected
5495;infected
220;infected
4158;infected
4188;infected
7215;infected
243;infected
246;infected
248;infected
1905;infected
7207;infected
1903;infected
4198;infected
4193;infected
253;infected
7216;infected
7236;infected
264;infected
266;infected
7241;infected
7246;infected
7240;infected
7239;infected
7238;infected
1937;infected
286;infected
1943;infected
287;infected
1941;infected
1948;infected
1944;infected
298;infected
1953;infected
1951;infected
1959;infected
1957;infected
1965;infected
1961;infected
1960;infected
1975;infected
1972;infected
1971;infected
1979;infected
1978;infected
1990;infected
1985;infected
1989;infected
1993;infected
1992;infected
3701;infected
9025;infected
3711;infected
3712;infected
3714;quarantine
3728;infected
3720;infected
9043;infected
3738;infected
3748;infected
3744;infected
3747;infected
2430;infected
2423;infected
