id;state
2308;infected
3636;infected
1;infected
3;infected
2313;infected
2312;infected
7;infected
2310;infected
8;infected
3641;infected
3644;infected
3661;infected
2327;infected
3652;infected
3659;infected
1004;infected
2333;infected
3664;infected
3680;infected
3681;infected
3682;quarantine
1020;infected
2347;infected
2345;infected
1013;infected
2344;infected
3678;infected
3691;infected
2361;infected
6718;infected
2359;infected
1026;infected
1044;infected
1043;infected
2370;infected
1037;infected
2365;infected
6722;infected
6725;infected
6727;infected
1055;infected
6753;infected
1066;infected
2397;quarantine
1064;infected
1059;infected
1057;infected
2388;infected
1056;quarantine
6744;infected
5415;infected
6747;infected
5431;infected
4101;infected
1074;quarantine
1072;infected
1070;infected
5423;infected
6755;infected
5424;infected
6758;infected
6770;infected
4112;infected
4113;infected
5434;infected
4105;infected
6769;infected
4109;infected
6782;infected
4120;infected
6784;infected
6783;infected
1097;infected
1094;infected
4115;infected
5447;infected
6778;infected
4119;infected
4131;infected
6795;infected
4127;infected
4129;infected
5475;infected
4145;infected
209;infected
4150;infected
5485;infected
5487;infected
210;infected
216;infected
4147;infected
4148;infected
4162;infected
5496;infected
4166;infected
4167;infected
5498;infected
4160;infected
220;infected
221;infected
222;infected
7201;infected
230;infected
231;infected
234;infected
237;infected
239;infected
1909;infected
240;infected
243;infected
244;infected
245;infected
247;infected
1905;infected
1904;infected
1903;infected
7209;infected
4195;infected
4198;infected
4192;infected
4193;infected
1918;infected
7237;infected
264;infected
1926;infected
1925;infected
270;infected
273;infected
1937;infected
1934;infected
280;infected
286;infected
1943;infected
293;infected
295;infected
298;infected
1953;infected
1959;infected
1958;infected
1957;infected
1965;infected
1960;infected
1968;infected
7288;infected
1979;infected
1978;infected
1987;infected
1981;infected
1980;infected
1997;infected
3700;infected
3701;infected
9025;infected
9026;infected
3718;infected
3711;infected
3714;quarantine
3728;infected
3729;infected
3720;infected
3722;infected
9043;infected
9044;infected
2400;infected
3730;infected
3732;infected
3736;infected
3748;infected
3744;infected
3745;infected
3747;infected
2430;infected
2425;infected
2423;infected
2422;infected
3751;quarantine
3752;quarantine
2429;infected
2440;infected
1105;infected
1103;infected
1102;infected
2433;infected
3764;infected
2439;infected
1121;infected
1120;infected
1114;infected
2443;infected
3774;infected
6800;infected
3794;infected
1130;infected
2456;infected
9090;infected
2454;infected
6814;infected
2474;infected
1140;infected
2470;infected
2469;infected
2467;infected
3797;quarantine
5510;infected
1154;infected
1153;infected
1165;infected
2490;infected
5515;infected
1187;infected
1186;infected
1183;infected
1177;infected
5533;infected
5534;infected
5550;infected
1196;infected
1194;infected
1191;infected
4215;infected
4216;infected
4217;infected
5548;infected
5562;infected
5563;infected
5555;infected
5557;infected
5571;infected
302;quarantine
304;infected
5569;infected
4252;infected
5586;infected
4256;infected
4247;infected
4248;infected
4249;infected
4265;infected
5597;infected
5588;infected
4271;infected
8630;infected
4274;infected
337;infected
339;infected
4287;infected
342;quarantine
346;quarantine
350;infected
351;quarantine
4292;infected
355;infected
6001;infected
6003;infected
362;infected
24;infected
6012;infected
6011;infected
27;infected
371;infected
6008;infected
32;infected
36;infected
37;infected
7355;infected
382;infected
6034;infected
6038;infected
50;infected
55;infected
56;infected
6054;infected
7384;infected
7380;infected
7382;infected
70;infected
71;infected
72;infected
77;infected
6069;infected
7399;infected
80;infected
87;infected
94;infected
99;infected
6086;infected
6085;infected
6084;infected
3806;infected
3808;infected
6095;infected
3817;infected
9135;infected
3825;infected
3829;infected
2501;infected
3830;quarantine
2508;infected
3848;infected
2513;infected
3840;infected
3859;infected
2528;infected
3857;infected
1205;infected
1203;infected
2531;infected
3862;infected
1209;infected
1208;infected
2539;infected
3867;infected
2538;infected
3880;infected
3881;infected
2551;infected
2547;infected
2545;infected
1213;infected
1212;infected
3877;quarantine
3878;quarantine
1218;quarantine
3890;infected
2562;infected
1230;quarantine
1227;infected
1226;infected
6919;infected
2556;infected
3885;quarantine
1236;infected
2566;infected
2564;infected
3894;infected
1251;infected
2578;infected
1246;infected
2577;infected
2576;infected
5604;infected
2595;infected
2591;infected
2590;infected
2586;infected
6944;infected
5613;infected
6943;infected
5630;infected
4300;infected
1270;infected
1268;infected
6957;infected
1285;infected
1280;infected
1279;infected
1278;infected
1277;infected
5632;infected
4304;infected
4315;infected
4317;quarantine
4330;infected
4331;infected
4328;infected
5659;infected
5673;infected
3012;infected
3010;infected
3008;infected
3007;infected
5665;infected
4354;infected
3019;infected
3018;infected
3017;infected
415;infected
4363;infected
4365;infected
421;quarantine
4356;infected
4357;infected
4359;infected
4374;infected
4375;infected
3040;infected
3039;infected
5699;infected
4381;infected
3055;infected
4380;infected
7407;infected
3068;infected
3061;infected
458;infected
3071;infected
6103;infected
3074;infected
460;infected
467;infected
469;quarantine
3080;infected
478;infected
6106;infected
6105;infected
3093;infected
7453;infected
8781;infected
8782;infected
3098;infected
3097;infected
3094;infected
488;infected
6137;infected
490;infected
491;infected
494;infected
497;infected
6143;infected
7479;infected
6147;infected
6140;infected
6157;infected
6150;infected
6169;infected
6160;infected
7490;infected
6173;infected
6185;infected
6188;infected
6187;infected
6189;infected
6184;infected
3903;infected
3905;infected
3914;infected
3910;infected
3911;infected
2602;infected
3930;quarantine
2607;infected
3931;infected
2604;infected
3947;infected
2612;infected
2611;infected
3949;infected
2610;infected
3940;infected
2619;infected
3941;infected
2618;infected
2616;infected
2615;infected
3945;infected
2624;infected
2623;infected
3959;infected
2621;infected
2629;infected
3953;infected
3956;infected
9272;infected
9273;infected
3968;infected
2635;infected
2633;infected
2631;infected
1309;infected
3967;infected
3980;infected
2650;infected
3979;infected
2645;infected
3990;infected
1323;infected
1320;infected
2651;infected
3986;infected
3988;infected
3989;infected
2670;infected
1335;infected
2662;infected
3998;quarantine
5709;infected
1344;infected
1359;infected
1356;infected
1353;quarantine
1371;infected
1367;infected
5722;infected
1382;infected
5734;infected
1386;infected
5744;infected
5747;infected
5770;infected
5772;infected
502;quarantine
503;infected
5765;infected
5780;infected
5781;infected
3121;infected
515;infected
517;infected
3134;infected
3131;infected
521;infected
523;infected
3125;infected
529;infected
8832;infected
3143;infected
532;infected
3137;infected
3135;infected
536;infected
537;infected
3153;infected
3146;infected
548;quarantine
7505;infected
3161;infected
3157;infected
8845;infected
3170;infected
8858;infected
3181;infected
3184;infected
3183;infected
3199;infected
580;quarantine
582;infected
6216;infected
7546;infected
6219;infected
6231;infected
8892;infected
6235;infected
591;infected
596;infected
599;quarantine
6241;infected
6243;infected
6238;infected
6237;infected
6253;infected
6255;infected
6268;infected
6260;infected
6278;infected
6285;infected
6289;infected
9327;infected
2709;infected
2706;infected
2705;infected
2722;infected
2725;infected
2731;infected
2738;infected
1415;infected
2745;infected
2742;infected
2741;infected
1418;infected
2749;infected
1417;infected
2753;infected
8076;infected
2768;infected
2767;infected
2762;infected
1439;infected
1438;infected
2769;infected
1451;infected
8082;infected
2781;infected
1448;infected
1446;infected
1441;infected
5804;infected
2792;infected
1460;infected
2789;infected
2787;infected
1452;infected
1472;infected
1469;infected
1468;infected
1464;infected
5840;infected
1480;infected
1475;infected
1489;quarantine
5861;infected
3205;infected
600;infected
601;infected
603;infected
607;infected
609;infected
5883;infected
3213;infected
5875;infected
5878;infected
5891;infected
3224;infected
3223;infected
628;infected
629;infected
3244;infected
3237;infected
634;infected
5897;infected
3249;infected
644;quarantine
645;infected
649;infected
3264;infected
3263;infected
3262;infected
657;infected
659;infected
7618;infected
3275;infected
3270;infected
664;infected
3268;infected
3267;infected
668;infected
3284;infected
675;infected
679;infected
6320;infected
3294;infected
685;infected
688;infected
8979;infected
6316;infected
691;infected
6346;infected
6345;infected
6338;infected
6351;infected
6357;infected
6361;infected
7695;infected
6368;infected
6367;infected
6384;infected
6383;infected
6386;infected
6385;infected
6399;infected
6391;infected
6390;infected
6393;infected
6392;infected
2801;infected
2806;infected
2802;infected
2816;infected
8130;infected
2824;infected
1509;infected
1508;infected
1511;infected
1519;infected
1517;infected
1524;infected
2851;infected
2850;infected
1529;infected
8174;infected
1534;infected
1538;infected
2878;infected
2877;infected
2875;infected
2874;infected
5902;infected
1555;infected
2885;infected
2884;infected
1551;infected
5911;infected
2899;infected
2898;infected
2897;infected
2896;infected
2894;infected
2893;infected
5924;infected
5932;infected
5933;infected
5936;infected
1590;infected
5949;infected
1587;quarantine
5941;infected
5952;infected
5954;infected
3310;infected
3307;infected
5962;infected
5964;infected
5967;infected
5969;infected
709;infected
3320;infected
3316;quarantine
711;infected
5979;infected
3319;infected
5994;infected
3330;infected
3329;infected
3326;infected
726;infected
728;infected
3341;infected
2005;infected
3336;infected
3334;infected
5997;infected
737;infected
5999;infected
2023;infected
3348;infected
2015;infected
3345;infected
746;infected
3364;quarantine
2030;infected
3361;quarantine
2024;infected
3355;infected
6400;infected
3376;infected
3375;infected
3374;quarantine
3373;infected
3371;infected
3369;infected
3368;infected
2035;infected
6410;infected
6412;infected
3385;infected
2053;infected
3383;infected
2051;infected
3379;quarantine
6402;infected
6407;infected
3395;infected
3393;quarantine
2059;infected
3389;infected
2057;infected
6413;infected
2075;infected
2074;infected
2072;infected
797;infected
6427;infected
6443;infected
2089;infected
2082;quarantine
2090;infected
2097;infected
6460;infected
6457;infected
6477;infected
6493;infected
6492;infected
2900;infected
2908;infected
8206;infected
8207;infected
2902;infected
2910;infected
2918;infected
2914;infected
2913;infected
2922;infected
2920;infected
2927;infected
2926;infected
2923;infected
8242;infected
2931;infected
2930;infected
2939;infected
8239;infected
2938;infected
1606;infected
2937;infected
2934;infected
8259;infected
1613;quarantine
2944;infected
1612;infected
2942;infected
2940;infected
2949;infected
2948;quarantine
2947;infected
8266;infected
2955;infected
2966;infected
1634;infected
2960;infected
1638;quarantine
2968;infected
2967;infected
2976;infected
2975;infected
2974;infected
2972;infected
1649;infected
2979;infected
2988;infected
2987;infected
1655;infected
1654;infected
2985;quarantine
1652;infected
2983;infected
2981;infected
1659;infected
1665;infected
2994;infected
1662;infected
1678;quarantine
1676;infected
1689;infected
1688;infected
1685;infected
1695;infected
800;infected
3408;infected
3414;infected
3413;infected
3410;infected
815;infected
3426;infected
820;infected
3437;infected
3453;infected
841;infected
2114;infected
3445;infected
2131;infected
3462;quarantine
3460;infected
3459;infected
3457;infected
3456;infected
2142;infected
3469;quarantine
2136;infected
2134;infected
866;infected
3486;infected
879;infected
2166;infected
3495;infected
3494;quarantine
2162;infected
881;infected
886;infected
3488;infected
887;infected
888;infected
7863;infected
2177;infected
2176;infected
891;infected
893;infected
3498;infected
2180;infected
2188;infected
2179;infected
2191;infected
2195;infected
7002;infected
1706;infected
1726;infected
1724;infected
1737;infected
7054;infected
7056;infected
8381;infected
1742;infected
1755;infected
1764;infected
1773;infected
7098;infected
1792;infected
1785;infected
1797;infected
1795;infected
1793;infected
3514;infected
910;infected
912;infected
916;infected
918;infected
3524;infected
3520;quarantine
922;infected
929;infected
2206;infected
3536;quarantine
3533;infected
3531;infected
932;infected
2221;infected
2214;infected
3544;infected
2227;infected
2222;infected
2241;quarantine
3570;infected
3566;infected
2234;infected
3564;infected
2251;infected
3582;infected
3580;infected
970;infected
3578;infected
974;infected
3576;quarantine
979;infected
2264;infected
3591;infected
3589;infected
984;infected
985;infected
7962;infected
