id;state
2305;infected
2304;infected
3630;infected
3633;infected
2308;infected
3636;infected
2307;infected
3650;infected
1;infected
2316;infected
2;infected
3;infected
4;infected
2313;infected
5;infected
2312;infected
6;infected
2311;infected
7;infected
2310;infected
8;infected
3641;infected
9;infected
3642;infected
3644;infected
3645;infected
3646;infected
3660;infected
3661;infected
2330;infected
2328;infected
2327;infected
2326;infected
2324;infected
2322;infected
3652;infected
3653;infected
3658;infected
3659;infected
3670;infected
3671;infected
3673;infected
2341;infected
2340;infected
2337;infected
1005;infected
2336;infected
1004;infected
2335;infected
2334;infected
2333;infected
1001;infected
2332;infected
3664;infected
3665;infected
3680;infected
3681;infected
3682;infected
2352;infected
1020;infected
1018;infected
1016;infected
2347;infected
2346;infected
2345;infected
1013;infected
2344;infected
3674;infected
3676;infected
3678;infected
3690;infected
3691;infected
3694;infected
1033;infected
1032;infected
1031;infected
2361;infected
6718;infected
1028;infected
2359;infected
1026;infected
2356;infected
3685;infected
3687;infected
6712;infected
3689;infected
6731;infected
6730;infected
1044;infected
1043;infected
2374;infected
1042;infected
2372;infected
2370;infected
1038;infected
1037;infected
1036;infected
1035;infected
2365;infected
3696;infected
6722;infected
3697;infected
3698;infected
6728;infected
6727;infected
6742;infected
5411;infected
6741;infected
1055;infected
1054;infected
1053;infected
2384;infected
1052;infected
1051;infected
1050;infected
2381;infected
2380;infected
5409;infected
2378;infected
6733;infected
6732;infected
6735;infected
6734;infected
6737;infected
5407;infected
6739;infected
6738;infected
6750;infected
5421;infected
6753;infected
5422;infected
1066;infected
2397;infected
1065;infected
1064;infected
1063;infected
1062;infected
2390;infected
1059;infected
1058;infected
1057;infected
2388;infected
1056;infected
2387;infected
6744;infected
6743;infected
5415;infected
5416;infected
6747;infected
5418;infected
5419;infected
6749;infected
6760;infected
5430;infected
4100;infected
5431;infected
4101;infected
5432;infected
5433;infected
1077;infected
1075;infected
1074;infected
1072;infected
1070;infected
2399;infected
5423;infected
5424;infected
5425;infected
6757;infected
6756;infected
5428;infected
6758;infected
5429;infected
1080;infected
6771;infected
5440;infected
4110;infected
4111;infected
5442;infected
6772;infected
